Date : 2024/09/17 16:56:08
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
L�gende : 
	Niveau de r�f�rence : 0
	Niveau courant : 3
	Param�tres Q4 : 
		Taille d'un �l�ment : 64
		Nombre maximum d'it�rations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Op�rateur : 
	Lieu : 
	Date : 
	Distance Cam�ras : 
	Angle cam�ras : 
	Distance du Capteur � l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1598.00	978.00	12.95	-0.22	-1.35	0.31	-0.10	-0.03	
1661.00	978.00	15.81	-0.68	-3.89	0.31	-0.12	-0.03	
1724.00	978.00	18.72	-1.08	-6.17	0.30	-0.13	-0.05	
1787.00	978.00	21.67	-1.42	-8.10	0.30	-0.14	-0.03	
1031.00	1041.00	-10.29	-2.61	0.01	0.29	0.09	0.03	
1094.00	1041.00	-7.70	-2.53	0.29	0.29	0.08	0.01	
1157.00	1041.00	-5.12	-2.47	0.58	0.29	0.05	-0.01	
1220.00	1041.00	-2.57	-2.53	0.28	0.29	0.02	-0.04	
1283.00	1041.00	0.00	-2.53	0.33	0.28	-0.01	-0.06	
1346.00	1041.00	2.55	-2.40	1.04	0.29	-0.02	-0.05	
1409.00	1041.00	5.10	-2.35	1.23	0.28	-0.04	-0.07	
1472.00	1041.00	7.67	-2.42	0.91	0.28	-0.06	-0.06	
1535.00	1041.00	10.27	-2.52	0.38	0.29	-0.07	-0.05	
1598.00	1041.00	13.00	-2.89	-1.46	0.30	-0.09	-0.03	
1661.00	1041.00	15.90	-3.43	-4.30	0.30	-0.12	-0.03	
1724.00	1041.00	18.80	-3.85	-6.35	0.28	-0.14	-0.06	
1094.00	1104.00	-7.72	-5.13	0.35	0.28	0.06	-0.02	
1157.00	1104.00	-5.14	-5.11	0.50	0.28	0.04	-0.02	
1220.00	1104.00	-2.57	-5.13	0.43	0.28	0.01	-0.05	
1283.00	1104.00	0.00	-5.12	0.54	0.27	-0.01	-0.07	
1346.00	1104.00	2.55	-4.95	1.38	0.28	-0.02	-0.06	
1409.00	1104.00	5.10	-4.85	1.77	0.27	-0.04	-0.08	
1472.00	1104.00	7.68	-4.97	1.21	0.27	-0.05	-0.05	
1535.00	1104.00	10.30	-5.12	0.45	0.28	-0.06	-0.04	
1598.00	1104.00	13.04	-5.52	-1.42	0.30	-0.08	-0.03	
1661.00	1104.00	15.93	-6.09	-4.05	0.30	-0.11	-0.02	
1724.00	1104.00	18.87	-6.60	-6.36	0.26	-0.14	-0.06	
1094.00	1167.00	-7.74	-7.76	0.44	0.25	0.03	-0.05	
1157.00	1167.00	-5.16	-7.81	0.20	0.27	0.02	-0.03	
1220.00	1167.00	-2.58	-7.84	0.14	0.28	-0.00	-0.06	
1283.00	1167.00	0.00	-7.71	0.73	0.27	-0.02	-0.09	
1346.00	1167.00	2.56	-7.53	1.57	0.27	-0.03	-0.07	
1409.00	1167.00	5.11	-7.45	1.84	0.26	-0.03	-0.08	
1472.00	1167.00	7.72	-7.66	0.98	0.27	-0.04	-0.05	
1535.00	1167.00	10.37	-7.88	-0.03	0.28	-0.05	-0.03	
1598.00	1167.00	13.08	-8.21	-1.40	0.30	-0.07	-0.00	
1661.00	1167.00	16.00	-8.84	-4.25	0.29	-0.11	-0.01	
