Date : 2024/09/17 16:56:07
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
Légende : 
	Niveau de référence : 0
	Niveau courant : 2
	Paramètres Q4 : 
		Taille d'un élément : 64
		Nombre maximum d'itérations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Opérateur : 
	Lieu : 
	Date : 
	Distance Caméras : 
	Angle caméras : 
	Distance du Capteur à l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1157.00	915.00	-5.07	2.85	1.35	0.69	0.16	0.15	
1220.00	915.00	-2.55	2.71	0.66	0.69	0.12	0.13	
1283.00	915.00	-0.00	2.65	0.32	0.68	0.07	0.08	
1346.00	915.00	2.54	2.71	0.62	0.69	0.02	0.07	
1409.00	915.00	5.07	2.78	1.05	0.70	-0.02	0.03	
1472.00	915.00	7.62	2.74	0.83	0.69	-0.06	-0.00	
1535.00	915.00	10.21	2.65	0.21	0.68	-0.10	-0.03	
1598.00	915.00	12.88	2.44	-1.08	0.66	-0.13	-0.05	
1661.00	915.00	15.69	2.11	-3.28	0.65	-0.16	-0.06	
1724.00	915.00	18.62	1.69	-5.78	0.61	-0.17	-0.10	
1787.00	915.00	21.56	1.39	-7.77	0.60	-0.19	-0.12	
1031.00	978.00	-10.27	-0.05	-0.18	0.60	0.27	0.23	
1094.00	978.00	-7.67	0.10	0.38	0.65	0.22	0.22	
1157.00	978.00	-5.10	0.23	1.01	0.65	0.17	0.15	
1220.00	978.00	-2.56	0.13	0.57	0.64	0.12	0.12	
1283.00	978.00	0.00	0.00	0.00	0.63	0.07	0.07	
1346.00	978.00	2.55	0.13	0.69	0.65	0.03	0.05	
1409.00	978.00	5.10	0.16	0.85	0.65	-0.02	-0.00	
1472.00	978.00	7.65	0.14	0.72	0.65	-0.05	-0.03	
1535.00	978.00	10.25	0.05	0.19	0.63	-0.09	-0.06	
1598.00	978.00	12.95	-0.22	-1.35	0.62	-0.12	-0.07	
1661.00	978.00	15.81	-0.68	-3.89	0.60	-0.15	-0.09	
1724.00	978.00	18.72	-1.08	-6.17	0.56	-0.17	-0.13	
1787.00	978.00	21.67	-1.42	-8.10	0.56	-0.18	-0.13	
1031.00	1041.00	-10.29	-2.61	0.01	0.57	0.23	0.20	
1094.00	1041.00	-7.70	-2.53	0.29	0.59	0.21	0.18	
1157.00	1041.00	-5.12	-2.47	0.58	0.60	0.17	0.16	
1220.00	1041.00	-2.57	-2.53	0.28	0.60	0.12	0.11	
1283.00	1041.00	0.00	-2.53	0.33	0.59	0.07	0.06	
1346.00	1041.00	2.55	-2.40	1.04	0.61	0.03	0.05	
1409.00	1041.00	5.10	-2.35	1.23	0.61	-0.01	-0.00	
1472.00	1041.00	7.67	-2.42	0.91	0.61	-0.05	-0.04	
1535.00	1041.00	10.27	-2.52	0.38	0.60	-0.08	-0.07	
1598.00	1041.00	13.00	-2.89	-1.46	0.59	-0.11	-0.08	
1661.00	1041.00	15.90	-3.43	-4.30	0.57	-0.14	-0.10	
1724.00	1041.00	18.80	-3.85	-6.35	0.53	-0.17	-0.14	
1094.00	1104.00	-7.72	-5.13	0.35	0.54	0.19	0.16	
1157.00	1104.00	-5.14	-5.11	0.50	0.56	0.16	0.16	
1220.00	1104.00	-2.57	-5.13	0.43	0.56	0.11	0.10	
1283.00	1104.00	0.00	-5.12	0.54	0.56	0.07	0.05	
1346.00	1104.00	2.55	-4.95	1.38	0.59	0.03	0.05	
1409.00	1104.00	5.10	-4.85	1.77	0.58	-0.01	-0.02	
1472.00	1104.00	7.68	-4.97	1.21	0.58	-0.05	-0.05	
1535.00	1104.00	10.30	-5.12	0.45	0.57	-0.07	-0.07	
1598.00	1104.00	13.04	-5.52	-1.42	0.56	-0.11	-0.09	
