Date : 2024/09/17 16:56:06
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
Légende : 
	Niveau de référence : 0
	Niveau courant : 1
	Paramètres Q4 : 
		Taille d'un élément : 64
		Nombre maximum d'itérations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Opérateur : 
	Lieu : 
	Date : 
	Distance Caméras : 
	Angle caméras : 
	Distance du Capteur à l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1031.00	600.00	-10.33	15.08	-3.73	0.91	0.19	0.14	
1094.00	600.00	-7.67	15.15	-2.16	0.90	0.14	0.05	
1157.00	600.00	-5.05	15.38	0.13	0.95	0.10	0.09	
1220.00	600.00	-2.51	15.49	1.58	0.97	0.06	0.10	
1283.00	600.00	-0.02	15.57	2.23	0.97	0.02	0.05	
1346.00	600.00	2.48	15.50	1.59	0.96	-0.00	0.03	
1409.00	600.00	4.99	15.46	1.14	0.97	-0.03	0.02	
1472.00	600.00	7.48	15.49	1.32	0.97	-0.06	-0.00	
1535.00	600.00	10.06	15.42	0.32	0.97	-0.08	-0.03	
1598.00	600.00	12.67	15.33	-0.80	0.96	-0.11	-0.04	
1661.00	600.00	15.38	15.24	-2.42	0.96	-0.13	-0.07	
1724.00	600.00	18.26	15.04	-5.02	0.94	-0.15	-0.09	
1787.00	600.00	21.29	14.81	-8.05	0.91	-0.16	-0.13	
968.00	663.00	-13.01	12.42	-4.61	0.84	0.23	0.08	
1031.00	663.00	-10.26	12.64	-2.29	0.86	0.20	0.12	
1094.00	663.00	-7.61	12.65	-0.48	0.88	0.16	0.10	
1157.00	663.00	-5.03	12.96	1.22	0.93	0.10	0.10	
1220.00	663.00	-2.51	13.11	2.37	0.94	0.06	0.07	
1283.00	663.00	-0.02	13.09	2.35	0.94	0.03	0.02	
1346.00	663.00	2.48	13.01	1.77	0.94	-0.00	0.01	
1409.00	663.00	5.00	12.97	1.40	0.95	-0.03	-0.00	
1472.00	663.00	7.50	12.97	1.37	0.95	-0.06	-0.03	
1535.00	663.00	10.07	12.92	0.59	0.94	-0.09	-0.05	
1598.00	663.00	12.67	12.85	-0.36	0.94	-0.11	-0.07	
1661.00	663.00	15.37	12.70	-1.90	0.93	-0.13	-0.10	
1724.00	663.00	18.28	12.43	-4.79	0.90	-0.14	-0.13	
1787.00	663.00	21.27	12.20	-7.51	0.89	-0.16	-0.14	
1850.00	663.00	24.40	11.92	-10.51	0.89	-0.15	-0.12	
968.00	726.00	-12.91	9.99	-2.87	0.80	0.23	0.06	
1031.00	726.00	-10.15	10.27	-0.13	0.82	0.21	0.11	
1094.00	726.00	-7.55	10.46	1.31	0.86	0.18	0.16	
1157.00	726.00	-5.02	10.50	1.79	0.91	0.11	0.09	
1220.00	726.00	-2.51	10.61	2.51	0.92	0.06	0.03	
1283.00	726.00	-0.01	10.55	2.16	0.92	0.03	-0.00	
1346.00	726.00	2.50	10.45	1.46	0.92	-0.00	-0.02	
1409.00	726.00	5.01	10.46	1.53	0.92	-0.03	-0.03	
1472.00	726.00	7.53	10.44	1.29	0.92	-0.06	-0.06	
1535.00	726.00	10.09	10.39	0.61	0.91	-0.08	-0.08	
1598.00	726.00	12.71	10.28	-0.38	0.91	-0.11	-0.10	
1661.00	726.00	15.42	10.12	-1.97	0.90	-0.13	-0.12	
1724.00	726.00	18.31	9.83	-4.56	0.88	-0.14	-0.14	
1787.00	726.00	21.33	9.51	-7.52	0.86	-0.16	-0.17	
968.00	789.00	-12.83	7.56	-1.40	0.77	0.23	0.04	
1031.00	789.00	-10.13	7.83	0.70	0.79	0.22	0.10	
1094.00	789.00	-7.55	7.98	1.75	0.85	0.18	0.16	
1157.00	789.00	-5.03	8.00	1.86	0.89	0.11	0.06	
1220.00	789.00	-2.52	8.01	1.96	0.89	0.07	0.00	
1283.00	789.00	-0.01	7.96	1.65	0.89	0.04	-0.03	
1346.00	789.00	2.51	7.92	1.34	0.89	0.00	-0.05	
1409.00	789.00	5.02	7.95	1.71	0.89	-0.03	-0.06	
